"film_id","title","film_language","release_year"
10,"Aladdin Calendar","English             ",2006
79,"Blade Polish","English             ",2006
105,"Bull Shawshank","English             ",2006
110,"Cabin Flash","English             ",2006
131,"Center Dinosaur","English             ",2006
133,"Chamber Italian","English             ",2006
172,"Coneheads Smoochy","English             ",2006
226,"Destiny Saturday","English             ",2006
273,"Effect Gladiator","English             ",2006
282,"Encounters Curtain","English             ",2006
296,"Express Lonely","English             ",2006
311,"Fiction Christmas","English             ",2006
335,"Freedom Cleopatra","English             ",2006
342,"Fugitive Maguire","English             ",2006
436,"Hours Rage","English             ",2006
444,"Hustler Party","English             ",2006
449,"Identity Lover","English             ",2006
462,"Insider Arizona","English             ",2006
482,"Jeopardy Encino","English             ",2006
488,"Joon Northwest","English             ",2006
519,"Liberty Magnificent","English             ",2006
547,"Magic Mallrats","English             ",2006
590,"Money Harold","English             ",2006
646,"Outbreak Divine","English             ",2006
723,"Reign Gentlemen","English             ",2006
812,"Smoking Barbarella","English             ",2006
862,"Summer Scarface","English             ",2006
928,"Uptown Young","English             ",2006
944,"Virgin Daisy","English             ",2006
