"number_of_customers","country","store_id"
"37","India",1
"26","China",1
"22","United States",1
"17","Japan",1
"16","Russian Federation",1
"15","Mexico",1
"15","Brazil",1
"13","Philippines",1
"9","Turkey",1
"9","South Africa",1
"9","Argentina",1
"7","Poland",1
"7","Indonesia",1
"6","Nigeria",1
"5","Iran",1
"5","Germany",1
"4","Venezuela",1
"4","Taiwan",1
"4","United Kingdom",1
"4","Colombia",1
"3","Canada",1
"3","Israel",1
"3","Pakistan",1
"3","Chile",1
"3","Vietnam",1
"3","Netherlands",1
"2","Austria",1
"2","Italy",1
"2","South Korea",1
"2","Saudi Arabia",1
"2","Ukraine",1
"2","Egypt",1
"2","Greece",1
"2","Algeria",1
"2","France",1
"2","Peru",1
"2","Malaysia",1
"2","Yugoslavia",1
"2","Switzerland",1
"2","Belarus",1
"2","Bangladesh",1
"2","Angola",1
"2","Yemen",1
"2","Spain",1
"2","United Arab Emirates",1
"2","Morocco",1
"1","Chad",1
"1","Mozambique",1
"1","Tonga",1
"1","Ecuador",1
"1","Hungary",1
"1","Afghanistan",1
"1","Nepal",1
"1","Armenia",1
"1","Runion",1
"1","Saint Vincent and the Grenadines",1
"1","Finland",1
"1","Paraguay",1
"1","Sri Lanka",1
"1","Tanzania",1
"1","Cameroon",1
"1","Oman",1
"1","Lithuania",1
"1","Bulgaria",1
"1","Greenland",1
"1","Tunisia",1
"1","Sudan",1
"1","Thailand",1
"1","Malawi",1
"1","Virgin Islands, U.S.",1
"1","Moldova",1
"1","Hong Kong",1
"1","Kuwait",1
"1","Madagascar",1
"1","Dominican Republic",1
"1","Zambia",1
"1","Kazakstan",1
"1","Tuvalu",1
"1","Slovakia",1
"1","French Polynesia",1
